Date,Ticker,Average Price,Quantity,Invested Money,Entry,Exit,Volatility between entry and exit,No entry,No Exit,Trigger Points,Profit Target,Trade Time Expected,Results,Trade Time,Current Price,Unrealized PnL
2025-04-24,POLYX-EUR,0.1414,3536.318,500,0.1394,0.1434,2.91%,No,No,Frequent Levels with Direction,14.15,0 days 12:28:00,Trade executed successfully,-1 days +14:16:00,0.13564,-13.3
2025-04-24,APT-EUR,4.7336,105.629,500,4.7142,4.7529,0.82%,No,No,Frequent Levels with Direction,4.09,0 days 00:45:00,Trade executed successfully,-1 days +20:53:00,4.6731,-4.34
2025-04-24,BABY-EUR,0.0664,7527.3997,500,0.066,0.0668,1.14%,No,No,Frequent Levels with Direction,6.02,0 days 01:39:00,Trade executed successfully,-1 days +22:42:00,0.066118,0.89
2025-04-24,ORDI-EUR,6.8136,73.3821,500,6.76,6.8673,1.59%,No,No,Frequent Levels with Direction,7.87,0 days 02:27:00,Trade executed successfully,-1 days +19:07:00,6.7071,-3.88
2025-04-24,PNUT-EUR,0.1463,3417.7518,500,0.141,0.1516,7.51%,No,No,Frequent Levels with Direction,36.23,0 days 03:44:00,Trade executed successfully,-1 days +18:57:00,0.13819,-9.6
2025-04-24,TRB-EUR,25.237,19.8122,500,24.904,25.57,2.67%,No,No,Frequent Levels with Direction,13.19,0 days 03:37:00,Trade executed successfully,-1 days +18:38:00,24.877,-0.53
2025-04-24,VRA-EUR,0.0014,358731.5253,500,0.0014,0.0014,0.97%,No,No,Frequent Levels with Direction,0.0,0 days 02:03:00,Trade executed successfully,-1 days +21:23:00,0.001312,-31.57
2025-04-24,IP-EUR,3.2848,152.214,500,3.2661,3.3036,1.15%,No,No,Frequent Levels with Direction,5.71,0 days 02:26:00,Trade executed successfully,-1 days +21:15:00,3.2719,0.88
2025-04-24,IQ-EUR,0.0038,131392.2321,500,0.0038,0.0038,2.08%,No,No,Frequent Levels with Direction,0.0,0 days 11:42:00,Trade executed successfully,-1 days +22:00:00,0.0037821,-2.35
2025-04-24,QKC-EUR,0.0069,72380.8972,500,0.0069,0.0069,0.32%,No,No,Frequent Levels with Direction,0.0,3 days 08:27:00,Trade executed successfully,-1 days +22:35:00,0.0068669,-2.4
2025-04-24,MKR-EUR,1301.05,0.3843,500,1297.5,1304.6,0.55%,No,No,Frequent Levels with Direction,2.73,0 days 02:44:00,Trade executed successfully,-1 days +23:01:00,1294.5,-1.15
2025-04-24,XVG-EUR,0.0045,112051.0953,500,0.0044,0.0045,2.97%,No,No,Frequent Levels with Direction,11.21,0 days 02:01:00,Trade executed successfully,-1 days +19:54:00,0.0043881,-1.33
